Brand,Product,Barcode,Stock,Price,MOQ,GTIN,Target price,TargetPrice,OriginalPrice,PercentToTarget,Reduction_Factor
AXIS-Y,Dark Spot Correcting Glow Serum 50ml,8809634610034,3323,6.35964,24,8809634610034,6.36,6.36,9.38,0.322,0.322
Haruharu Wonder,Black Rice Pure Mineral Relief Daily Sunscreen 50ml,8809532221691,0,8.96,24,,,0.0,8.96,0.0,0.0
Medicube,COLLAGEN GLOW BOOSTER SERUM 15ml,8800289474996,308,7.894880000000001,24,8800289474996,7.89,7.89,10.64,0.258,0.258
PURITO SEOUL,Wonder Releaf Centella BB Cream #27 Sand Beige 30ml,8809563103713,1402,4.5182,24,8809563103713,4.52,4.52,5.8,0.221,0.221
Pyunkang yul,(EU) Essence Toner 100ml,8809486680353,725,3.4909800000000004,24,8809486680353,3.49,3.49,4.98,0.299,0.299
AXIS-Y,Vegan Collagen Eye Serum 10ml,8809634610881,0,11.02,24,,,0.0,11.02,0.0,0.0
Round Lab,(EU) Birch Moisture Tone-Up Sunscreen 50ml,8809864769977,1712,5.7330000000000005,24,8809864769977,5.7,5.7,8.82,0.354,0.35
PURITO SEOUL,Wonder Releaf Centella BB Cream #13 Neutral Ivory 30ml,8809563103676,983,4.5182,24,8809563103676,4.52,4.52,5.8,0.221,0.221
Round Lab,(EU) 1025 DOKDO EYE CREAM_30ml,8809657114632,319,6.3505,24,8809657114632,6.29,6.29,9.77,0.356,0.35
Heimish,RX Retinol Bakuchiol Eye Cream 30ml,8809481762603,376,7.26921,24,8809481762603,7.27,7.27,9.81,0.259,0.259
IUNIK,Tea Tree Relief Serum 50ml,8809728080071,375,6.43545,24,8809728080071,6.44,6.44,9.45,0.319,0.319
Round Lab,(EU) 1025 DOKDO AMPULE_45g,8809657115479,1250,8.879,24,8809657115479,8.6,8.6,13.66,0.37,0.35
TOCOBO,Glow Ritual Lip Balm 001 Coral Water,8809835060782,281,3.93108,24,8809835060782,3.93,3.93,5.64,0.303,0.303
Mary&May,(EU) Vegan Blackberry Complex Cream Essence 140ml,8809670681692,0,10.37,24,,,0.0,10.37,0.0,0.0
celimax,Dual Barrier Watery Sun Cream 40ml,8809686388172,0,10.33,24,,,0.0,10.33,0.0,0.0
VT COSMETICS,PRO CICA REEDLE SHOT 100 (EU Package),8803463003685,0,17.71,24,,,0.0,17.71,0.0,0.0
COSRX,The SkinBarrier Moisturizing Mist 120ml,8800311120822,365,8.2656,24,8800311120822,8.26,8.26,11.2,0.262,0.262
Round Lab,(EU) 1025 DOKDO TONER_200ml+DOKDO Lotion 200ml,8809657114243,760,10.920000000000002,24,8809657114243,10.89,10.89,16.8,0.352,0.35
ARENCIA,(EU Package) FRESH ROSEHIP RICE MOCHI CLEANSER 120G,8809562190745,2404,7.7875000000000005,24,8809562190745,7.79,7.79,8.75,0.11,0.11
Pyunkang yul,(EU) Calming Deep Moisture Toner 150ml,8809486681480,0,5.57,24,,,0.0,5.57,0.0,0.0
TOCOBO,CICA CALMING GEL CREAM 75ml,8809835060591,3516,6.819999999999999,24,8809835060591,6.82,6.82,10.0,0.318,0.318
Jumiso,PORE CLEARING CLEANSING OIL 200ML,8809655951635,858,6.54314,24,8809655951635,6.54,6.54,9.58,0.317,0.317
Dr.Althea,Anastatica Skin Conditioning Toner 250ml,8809447253152,5500,6.82584,24,8809447253152,6.83,6.83,9.56,0.286,0.286
KSECRET,(GLOBAL) Eye Cream : Retinal Liposome 4% + Fermented Bean,8809695240577,2374,7.89152,24,8809695240577,7.89,7.89,10.84,0.272,0.272
ANUA,HEARTLEAF SILKY MOISTURE SUNSCREEN 50ml,8809640737275,358,7.240600000000001,24,8809640737275,7.24,7.24,8.83,0.18,0.18
Heimish,RX Retinol Bakuchiol Booster Oil 35ml,8809481762641,336,15.0215,24,8809481762641,5.42,5.42,23.11,0.765,0.35
ISNTREE,(EU) YAM ROOT VEGAN MILK CLEANSER 220ml,8809800940125,421,7.255820000000001,24,8809800940125,7.26,7.26,9.46,0.233,0.233
TOCOBO,JUICY BERRY PLUMPING LIP OIL 00 GLAM MAX,8809835061451,550,3.42848,24,8809835061451,3.43,3.43,4.87,0.296,0.296
ARENCIA,(EU Package) FRESH BLUE HYSSOP RICE MOCHI CLEANSER 120G,8809562191070,2387,7.7875000000000005,24,8809562191070,7.79,7.79,8.75,0.11,0.11
Heimish,RX Multi Vitamin Dark Spot Cream 50ml,8809481762597,0,10.12,24,,,0.0,10.12,0.0,0.0
TOCOBO,BIFIDA BIOME ESSENCE 50mL,8809835060010,246,7.484190000000001,24,8809835060010,7.48,7.48,10.99,0.319,0.319
Heimish,Marine Care Deep Moisture Nourishing Melting Cream 55ml,8809481761248,255,6.24035,24,8809481761248,6.24,6.24,9.11,0.315,0.315
Round Lab,(EU) Moisture Mild-Up Suncreen_50ml,8809782558523,9513,5.7330000000000005,24,8809782558523,5.7,5.7,8.82,0.354,0.35
KSECRET,(GLOBAL) Retinal Liposome 2% + Black Ginseng 30ml,8809695240508,3583,7.89152,24,8809695240508,7.89,7.89,10.84,0.272,0.272
Medicube,DEEP VITA C AMPOULE 2.0 30g,8800289474927,7052,11.7183,24,8800289474927,11.72,11.72,15.9,0.263,0.263
Medicube,DEEP VITA C AMPOULE 2.0 30g,8800240566944,461,11.7183,24,8800240566944,11.72,11.72,15.9,0.263,0.263
